食品添加剂中文名称,食品添加剂英文名称,CNS,INS,功能,质量规格标准,JECFA规格资料,备注,添加剂说明
阿力甜（又名L-α-天冬氨酰-N-（2，2，4，4-四甲基-3-硫化三亚甲基）-D-丙氨酰胺）,alitame,19.013,956,甜味剂,,,,"食品添加剂""阿力甜"",化学名称为L-α-天冬氨酰-N-(2，2，4，4-四甲基-3-硫化三亚甲基)-D-丙氨酰胺。以下是关于其情况的总结：

### 适用范围

阿力甜作为一种高甜度食品添加剂，在食品工业中主要用于增加食品的甜味，尤其适用于饮料、糖果、烘焙产品等需要调整或增强甜味的场合。

### 对人体的影响

根据食品安全国家标准GB 1886.99-2015的规定，阿力甜属于允许使用的食品添加剂。一般而言，适量使用对健康并无直接危害。但长期大量摄入可能会导致牙齿腐蚀、胃酸过多等现象，在儿童、孕妇和老人这类敏感人群中需注意控制用量。

### 对特定人群的影响

1. **儿童**：由于口腔发育尚未完全，儿童可能更容易受到高糖或甜味剂的影响，包括牙齿腐蚀的风险。
2. **孕妇**：孕期应避免摄入过量的任何添加剂以确保胎儿健康。建议遵循食品标签上的指导剂量。
3. **老人**：老年人消化系统功能减退，可能对某些食品添加剂更敏感，特别是胃酸过多、肠胃不适等反应。

### 剂量控制

阿力甜的安全使用范围应在食品安全标准规定之内。一般来说，每日最大摄入量不超过1.5 mg/kg体重被认为是安全的。具体用量应根据食品类型、口感需求及标签指示进行调整。在特殊人群中（儿童、孕妇和老人），应当减少或避免高剂量摄入。

### 结论

阿力甜作为一种二肽类甜味剂，在食品工业中广泛应用，具有较高的甜度且适用于多种食品类型。然而，其安全使用需遵循食品安全标准，并考虑特定人群的健康状况及需求进行合理控制用量。对于敏感人群（如儿童、孕妇和老人），建议在医生或营养师指导下使用。

请关注并遵守当地关于阿力甜和其他食品添加剂的法规和指导原则，确保食品安全与健康。"
阿斯巴甜（又名天门冬酰苯丙氨酸甲酯）,aspartame,19.004,951,甜味剂,,,添加该添加剂的食品应标明：天门冬酰苯丙氨酸甲酯（含苯丙氨酸）或阿斯巴甜（含苯丙氨酸）。若食品类别中同时允许使用天门冬酰苯丙氨酸甲酯乙酰磺胺酸（最大使用量乘以0.64可以转换为阿斯巴甜的用量），当混合使用时，最大使用量不能超过标准规定的阿斯巴甜的最大使用量。,"### 关于食品添加剂阿斯巴甜（天门冬酰苯丙氨酸甲酯）的情况总结：

#### 适用范围：
阿斯巴甜广泛应用于食品和药物加工中，作为非碳水化合物类的人造甜味剂。它被用于添加在饮料、糖果、烘焙制品、口香糖等多类食品中以提供甜味。

#### 对人体的影响：
- **安全性争议**：国际癌症研究机构将阿斯巴甜归为“潜在致癌物”，基于对人类的“有限证据”。这意味着长期高剂量摄入可能与某些健康风险相关联。
- **特定群体关注**：关于是否对小孩、孕妇和老人有害，现有的科学共识并不一致。一般而言，对于儿童和孕妇，建议在医生或营养师的指导下使用，并避免过量摄入。老年人同样需要谨慎考虑其身体状况和潜在药物相互作用。

#### 剂量：
- **安全剂量**：根据国际食品法典委员会（CAC）的规定，阿斯巴甜每日每千克体重的安全摄入量为50毫克。换算成人约为200mg。
- **限制使用**：新版食品标准对甜味剂的使用作出更严格要求，例如在特定食品类别中共同使用时的总量要求。

#### 结论：
阿斯巴甜作为一种人工合成甜味剂，在日常饮食中广泛使用。尽管其被归为“潜在致癌物”，但目前证据有限，并且对于大多数健康人群而言，适量摄入是安全的。特别是对儿童、孕妇和老年人来说，可能需要更谨慎或遵循专业建议。在选择食品时，消费者应关注成分表，了解添加剂的具体量和适用范围，并根据个人健康状况做出选择。

请注意，营养与健康研究不断发展，对于特定个体的最佳实践可能会随着新证据的出现而改变。因此，定期查阅最新的科学研究和公共卫生指南是明智的做法。"
天门冬酰苯丙氨酸甲酯乙酰磺胺酸,aspartame-acesulfame salt,19.021,962,甜味剂,,,添加该添加剂的食品应标明：“天门冬酰苯丙氨酸甲酯乙酰磺胺酸（含苯丙氨酸）”。若食品类别中同时允许使用阿斯巴甜或安赛蜜，混合使用时最大使用量不能超过标准规定的阿斯巴甜或安赛蜜的最大使用量。（天门冬酰苯丙氨酸甲酯乙酰磺胺酸最大使用量乘以0.64可以转换为阿斯巴甜的用量，最大使用量乘以0.44可以转换为安赛蜜的用量）。,"### 关于天门冬酰苯丙氨酸甲酯乙酰磺胺酸的总结

**名称与编号：**
天门冬酰苯丙氨酸甲酯乙酰磺胺酸，作为食品添加剂的一种，其相关国标编号为GB 1886.69-2016。

**适用范围：**
在相同食品类别中同时使用甜味剂天门冬酰苯丙氨酸甲酯乙酰磺胺酸、阿斯巴甜或安赛蜜时，混合使用时最大使用量不能超过特定的限制。这表明其主要作为甜味剂应用于各种食物和饮料中。

**安全性：**
根据已有的食品安全标准和相关法规，天门冬酰苯丙氨酸甲酯乙酰磺胺酸被认为是对人体安全的食品添加剂之一。尽管如此，任何食品添加剂在过量摄入时都可能对人体产生不良影响。

**对特定人群的影响：**
对于小孩、孕妇、老人等特殊群体来说，在正常使用范围内食用含该甜味剂的食物和饮料通常是安全的。然而，如果存在个体过敏或特殊情况（如苯丙酮尿症患者对苯丙氨酸的高度敏感性），则在摄入含有天门冬酰苯丙氨酸甲酯乙酰磺胺酸的产品时需谨慎。

**剂量控制：**
剂量控制对于确保食品安全至关重要。相关标准规定了最大使用量和限制，以防止过量摄入并保证安全。具体数值应参照GB 2760-2024等国家食品添加剂使用标准进行参考。

总的来说，天门冬酰苯丙氨酸甲酯乙酰磺胺酸作为一种甜味剂，在合理范围内用于食品中是被允许和相对安全的，但对特定敏感人群可能需要额外注意。确保在食品安全法规框架内使用该添加剂对于保护消费者健康至关重要。"
天然胡萝卜素,natural carotene,08.147,160a(ii),着色剂,,,,"天然胡萝卜素是一种类胡萝卜素的衍生物，在自然界中主要存在于植物和一些动物体内。它属于抗氧化剂的一种，具有多种健康益处。天然胡萝卜素主要用于食品的着色以及提供潜在的健康效益，特别是在富含维生素A的食物中起作用。

### 适用在哪些食品上？

天然胡萝卜素常被用作天然色素添加剂，在加工食品、饮料、糖果和烘焙制品等中添加以增加颜色或维持特定的颜色。它通常用于赋予黄色到橙色的颜色，如在酸奶、果汁、冰淇淋、布丁和烘焙产品中。由于其源自自然植物，相比人工合成的胡萝卜素具有更好的接受度和更少的副作用风险。

### 是否对人体有害？

天然胡萝卜素的安全性相对较高，在推荐摄入量内食用对大多数人是安全的。它对于预防视网膜疾病（如黄斑变性）、提高免疫力、抗氧化作用等有潜在益处。然而，摄入过量可能引起皮肤过敏反应或轻微的消化系统不适。

### 是否对小孩、孕妇、老人有害？

天然胡萝卜素的安全性和适用性在不同人群中各有差异：

- **儿童**：对于婴幼儿而言，在配方奶粉中添加适量的天然胡萝卜素通常被认为是安全的。但对于较大儿童和青少年，由于其体内代谢能力较强，食用过多可能引起皮肤色素沉着或轻微的消化不适。

- **孕妇**：虽然天然胡萝卜素对大多数孕妇是安全的，但过量摄入可能导致黄疸症状在某些情况下出现（如高剂量摄入后通过胎盘传递给胎儿），因此建议孕妇在咨询医生后适量使用。

- **老年人**：老年人通常对天然胡萝卜素的代谢能力与年轻人相似，但仍需注意不要过量摄入。如果存在特定健康状况或服用其他药物，请在医生指导下使用。

### 剂量

食品中添加天然胡萝卜素的最大允许含量标准因国家和地区的法规而异。例如，在美国，联邦法规（21CFR）对不同类型的食品有着不同的最大允许添加量限制。一般而言，推荐的每日摄入量不超过每天总膳食中的400微克视黄醇当量（RAE），以确保安全并避免潜在副作用。

在使用天然胡萝卜素作为添加剂时，务必遵循相关食品安全法规和指导原则，并考虑特定目标群体的健康状况和需求。"
天然苋菜红,natural amaranthus red,08.130,—,着色剂,,,,"食品添加剂中的“天然苋菜红”是一种食用色素，主要由植物提取物制成。它通常被用于提升食物的色泽，特别是在需要增强红色色调的食物中。下面是对天然苋菜红情况的一些总结：

### 使用范围：
1. **糖果**：用于给糖果添加鲜艳的红色。
2. **糕点和烘焙食品**：为蛋糕、面包等烘焙产品提供醒目的颜色。
3. **饮料**：用于调色或增强特定饮品的颜色，如果汁或碳酸饮料。
4. **肉制品**：在加工肉类时作为着色剂来增加外观吸引力。

### 安全性：
天然苋菜红一般被认为是安全的食品添加剂。它通过了食品管理局（FDA）等食品安全机构的安全评估，并允许在符合相关法规的情况下用于多种食品中。它的使用通常基于“一般认为是安全”的原则，意味着对大多数消费者来说，在推荐的使用水平下，短期和长期摄入不会对健康造成危害。

### 对特定人群的影响：
1. **小孩**：儿童对食品添加剂的反应可能因个体差异而异。虽然天然苋菜红被广泛接受为安全，但某些敏感的儿童可能会对其产生过敏反应或不耐受。
2. **孕妇**：对于孕妇而言，摄入任何类型的食品添加剂（包括天然色素）的安全性取决于其剂量和整体健康状况。目前的研究没有表明天然苋菜红对孕妇有直接不利影响，但在孕期应尽量遵循推荐的食用量，并在必要时咨询医生的意见。
3. **老人**：老年人通常不会因为年龄而受到特殊影响。他们可以安全地摄入食品添加剂，但同样应该关注个人健康和建议剂量。

### 剂量控制：
食品添加剂的使用有严格的法规限制，以确保它们的安全性。这些限制基于对可能健康风险的研究评估。例如，在美国，FDA为天然苋菜红设定了每日允许最大摄入量（ADI），通常对于所有年龄段的人群都是每公斤体重不超过0.1毫克。

总之，虽然天然苋菜红被认为是安全的食品添加剂，使用时仍需遵循法规规定的剂量和使用指导原则，尤其是对特定人群如儿童、孕妇和老人。在没有明确健康问题的情况下，适量摄入一般不会带来显著风险。然而，任何个体对食品添加剂的反应都可能因个人差异而有所不同，必要时应咨询专业医疗人员的意见。"
田菁胶,sesbania gum,20.021,—,增稠剂,,,,"### 关于食品添加剂田菁胶的综合信息：

#### 1. **基本信息**：
田菁胶（Chitosan）是一种多糖类化合物，源自甲壳素（Chitin），主要通过水解甲壳素而制得。它通常以白色或淡黄色粉末形式存在。

#### 2. **适用范围**：
- **食品工业**：在食品加工中，田菁胶被用作增稠剂、稳定剂和胶凝剂，用于改善食品的口感和结构。
- **饮料**：用于增加果汁和软饮料的稳定性，防止沉淀或浑浊。
- **乳制品**：可用于改善酸奶、冰淇淋等产品的质地。
- **烘焙产品**：能帮助调节面团湿度，提高面包和糕点的品质。

#### 3. **对人体的影响**：
田菁胶在正常食用剂量内被认为是安全的。根据FAO/WHO食品添加剂联合专家委员会（JECFA）的评估，每日每千克体重不超过25毫克是安全的。这种水平的摄入不会对健康造成明显影响。
   
- 对于儿童、孕妇和老年人：由于没有特殊的风险信息表明田菁胶会对这些特定人群有特别的影响，通常认为在正常饮食中使用是安全的。然而，在任何情况下，如果存在过敏史或特殊健康状况，请咨询医生或营养专家。

#### 4. **剂量控制**：
- 在食品工业应用中，田菁胶的具体添加量会根据产品特性、口感要求和稳定效果来决定。
- 对于普通消费人群来说，遵循食品标签上的建议用量，并避免超量摄入，通常不会对健康造成危害。

### 总结：
田菁胶作为一种天然的多糖类食品添加剂，在多种食品加工中应用广泛。在正常食用剂量内，它被认为是安全无害的，适用于儿童、孕妇及老年人等群体。然而，对于特定个体或有特殊健康状况的人来说，建议在咨询医生后谨慎使用。合理的剂量控制是确保其安全性的重要环节。

请注意，食品安全和添加物的安全性评估是一个持续的过程，随着研究的深入，相关信息可能会有所更新。因此，在食品工业中和日常饮食中使用任何添加剂时都应参考最新的科学研究和官方指导。"
甜菜红,beet red,08.101,162,着色剂,,,,"甜菜红（Betanin）是一种天然的食用色素，主要来源于甜菜根。它是从甜菜中提取的一种红色素，具有稳定的性质，在多种食品加工和制作过程中被广泛使用。以下是对甜菜红的一些详细情况总结：

### 适用范围：
- **烘焙产品**：用于赋予面包、蛋糕等烘焙制品以鲜艳的红色。
- **糖果与巧克力**：添加在软糖、硬糖、巧克力上，使其呈现吸引人的红色或粉红色。
- **饮料**：包括果汁和碳酸饮料，在不破坏其自然色泽的同时增添特色。
- **肉制品**：用于加工火腿、香肠等肉类食品，增加视觉吸引力。

### 对人体的影响：
甜菜红是一种天然色素，并且一般被认为是安全的。它被国际上许多食品安全监管机构（如FAO/WHO和欧盟）认定为对人类无害的食品添加剂。然而，在极少数情况下，可能会引起过敏反应或其他不良反应，尤其是在个体具有特定食物不耐受或敏感性的情况下。

### 对特定人群的影响：
- **小孩**：对于儿童来说，甜菜红与一般其他食品添加剂一样，在推荐剂量范围内使用时是安全的。
- **孕妇**：在孕期，只要遵循食品标签上的建议摄入量，通常不会对胎儿产生不利影响。然而，如果有食物过敏史或特殊健康状况，应咨询医生。
- **老人**：对于老年人来说，甜菜红的安全性同样与成年人类似，但如果有特定的健康问题（如血液疾病），在食用含有甜菜红的产品时可能需要谨慎。

### 剂量：
食品中甜菜红的使用剂量受到严格的法规控制。例如，在欧盟，甜菜红的最大允许使用浓度在不同类型的食品中有不同的规定限制。确保不超过这些法定上限是安全使用的关键。一般来说，推荐摄入量和每日最大摄入量都有明确的标准，以保障消费者的健康。

总之，甜菜红作为一种天然色素，在正确且适量的使用下对人体是安全的。对于特定人群（如孕妇、小孩或有食物过敏史的人），在食用含有该添加剂的产品时应谨慎，并根据个人情况咨询专业人士。"
甜菊糖苷,steviol glycosides,19.008,960a,甜味剂,,,2024年03月13日，《关于石斛原球茎等23种“三新食品”的公告》（2024年第2号）批准新品种食品添加剂甜菊糖苷（酶转化法），允许用于调制乳、风味发酵乳、饮料类[14.01包装饮用水、14.02.01果蔬汁（浆）、14.02.02浓缩果蔬汁（浆）除外]、胶基糖果、冰淇淋、雪糕类。  2025年02月10日，《国家卫生健康委员会关于甜叶菊多酚等20种“三新食品”的公告》（2025年第1号）批准食品添加剂新品种甜菊糖苷（酶转化法），使用范围和使用量执行《食品安全国家标准 食品添加剂使用标准》（GB 2760）及相关公告中已批准甜菊糖苷的规定，可以单独或与甜菊糖苷混合使用。,"甜菊糖苷（Steviol glycosides）是一种天然的非营养性甜味剂，来自甜叶菊植物。它具有高甜度特性，在低浓度下就能产生类似蔗糖的甜味感，但不提供热量或仅提供非常少量的能量。

### 适用食品

甜菊糖苷广泛应用于多种食品和饮料中，包括但不限于：

1. **软饮料**：如碳酸饮料、果汁饮料等。
2. **糖果与蜜饯**：用于替代传统糖以减少卡路里摄入。
3. **烘焙产品**：面包、糕点、饼干等。
4. **乳制品**：冰淇淋、酸奶等。
5. **调味品**和**烹饪用调料**，如糖浆、酱料等。

### 对人体的影响

甜菊糖苷被认为是安全的食品添加剂，在合理使用下对人体无害。世界卫生组织（WHO）和国际粮农组织（FAO）将甜菊糖苷的安全摄入量设定在每日每公斤体重4毫克（mg/kg bw），这是基于长期研究而得出的推荐值。

### 对特定人群的影响

对于小孩、孕妇和老人，由于他们的代谢系统与成人有所不同：

1. **小孩**：目前没有特别证据表明甜菊糖苷对儿童有特殊的危害，但考虑到其安全性，建议按照推荐剂量使用。
2. **孕妇**：虽然大多数研究认为在推荐摄入量范围内食用是安全的，但鉴于每个人体质差异和特殊健康状况，咨询医生或营养师的意见可能是个好选择。
3. **老人**：对于老年人来说，与其他人一样，在遵循食品标签上建议的最大每日摄入量下使用甜菊糖苷通常被认为是安全的。

### 注意事项

尽管甜菊糖苷整体被认为是比较安全的添加剂，但极少数人可能会对它产生过敏反应。如果食用后出现不适症状（如皮疹、胃肠道不适等），应立即停止使用，并咨询医生或专业人士。

总之，甜菊糖苷是一种低热量、高甜度的天然甜味剂，在多种食品中被广泛使用。在推荐剂量范围内使用是安全的，但对于特定人群（尤其是儿童、孕妇和老人）在使用时应特别注意，必要时需咨询专业意见。"
脱氢乙酸及其钠盐（包括脱氢乙酸，脱氢乙酸钠）,"dehydroacetic acid, sodium dehydroacetate","17.009(i),17.009 (ii)",265266,防腐剂,,,,"### 脱氢乙酸及其钠盐的综合情况总结：

#### 适用范围：
脱氢乙酸及其钠盐（包括脱氢乙酸和脱氢乙酸钠）是一种常见的食品防腐剂，主要用于延长食品的保质期。这类添加剂能够对霉菌、酵母菌及细菌产生较好的抑制作用，适用于多种食品类型中。

#### 对人体的影响：
根据国家食品安全风险评估中心的研究结果，当通过口腔摄入达到一定剂量时，脱氢乙酸钠可能对人类构成潜在的安全威胁。因此，国际上对这类食品添加剂的使用标准和范围有严格规定，并考虑在某些情况下实施禁用政策（如新版GB 2760-2024中删除了其部分使用场景）。

#### 对特定人群的影响：
对于儿童、孕妇及老年人等特定群体，在安全摄入量范围内，适量添加脱氢乙酸及其钠盐的食品是可以食用的。然而，过量摄入可能对健康构成风险。因此，在为这些人群选择食品时，应优先考虑低添加剂含量或无添加剂的产品。

#### 剂量控制：
在国家食品安全标准中（如GB 2760-2024），对脱氢乙酸及其钠盐的使用有明确限制，确保其安全摄入。消费者和食品生产商应遵循这些规定，以确保食品的安全性。例如，在月饼等特定类型的烘焙食品中的使用需符合规定的最大允许量。

总之，脱氢乙酸及其钠盐作为食品添加剂具有一定的防腐效果，但需要在合理范围内使用，特别是在针对儿童、孕妇及老年人等敏感群体时，更应谨慎控制其摄入量，确保食品安全与健康。"
脱乙酰甲壳素（又名壳聚糖）,deacetylated chitin (chitosan),20.026,—,增稠剂、被膜剂,,,,"### 壳聚糖（脱乙酰甲壳素）简介

#### 适用范围：

壳聚糖广泛应用于医药、食品、化工、化妆品等多个领域。在食品工业中，它可用作增稠剂、稳定剂、乳化剂等。

#### 对人体的潜在影响：

1. **安全性**：壳聚糖在一般情况下被认为是安全的，许多研究证实了其对健康无害或具有有益作用。
2. **对小孩、孕妇和老人的影响**：对于这些特定人群的安全性并未明确表明存在特殊风险，但使用任何食品添加剂前最好咨询医生或专业人士意见。

#### 剂量：

壳聚糖在食品中的应用应遵守相关法规标准。在中国，壳聚糖（脱乙酰甲壳素）作为食品添加剂，其最大使用量为1.0g/kg，在各类食品中添加时需符合GB 29941-2013《食品添加剂 脱乙酰甲壳素》的规定。

#### 结论：

壳聚糖作为一种常见的食品添加剂，在合理剂量下通常被认为是安全的。它可用于多种食品中，以提高产品的稳定性和质量。然而，对于特定人群（如小孩、孕妇和老人）的使用，建议在专业指导下进行。"
微晶纤维素,microcrystallin cellulose,02.005,460(i),抗结剂、增稠剂、稳定剂,,,,"微晶纤维素（Microcrystalline Cellulose）是一种白色粉末状的物质，属于纤维素的一种，因其晶体结构非常小而得名。它在食品工业中被广泛使用，主要作为填充剂和崩解剂。下面是一些关于微晶纤维素的情况总结：

### 适用范围

1. **营养补充品**：微晶纤维素常用于胶囊或片剂的生产中，帮助改善药物的物理性质，如提高可压性和流动性。
2. **食品配料**：在烘焙食品、糖果、饮料和其他一些固体食品中用作增稠剂和稳定剂，以增加口感或改进结构。
3. **保健品**：作为添加剂用于某些保健补充品中，如维生素胶囊，帮助改善产品的物理特性。

### 对人体的影响

微晶纤维素本身是安全的，已被广泛应用于人类的食物和药物中。它不会对人体造成伤害，也不被认为是致癌物质。根据食品法典委员会（Codex Alimentarius Commission）的规定，每天摄入量为10克或以下时，通常被视为安全无害。

### 针对特定人群的影响

对于**小孩、孕妇、老人**等特殊人群来说，微晶纤维素一般也是安全的。然而，在任何情况下，如果有人对微晶纤维素或其他添加剂有过敏反应，则应避免使用含有该成分的产品。

### 剂量与安全性

适量摄入微晶纤维素被认为是安全的。食品工业中的使用量通常基于实际需要来确定，并且不会超过推荐的最大每日摄入量（MDI）。例如，在美国，根据食品安全和营养研究所（Institute of Medicine）的研究，微晶纤维素的最大每日摄入量被设定为10克。

总的来说，微晶纤维素作为一种广泛应用于食品添加剂的成分，通常被认为是安全的。在日常饮食中适量使用，并不会对健康造成不利影响。不过，在任何情况下，如果有关于特定食品或添加剂的安全性疑虑时，最好咨询医生或营养专家的意见。"
维生素E（包括dl-α-生育酚，d-α-生育酚，混合生育酚浓缩物）,"vitamine E (dl-α-tocopherol , d-α- tocopherol , mixed tocopherol concentrate)",04.016,307,抗氧化剂,,,,"### 维生素E及其类型简介

维生素E是脂溶性维生素，对于维持人体健康有重要作用。它存在两种主要形式：

1. **天然生育酚 (D-α-生育酚)**：又称RRR-α-生育酚。
2. **合成生育酚 (dl-α-生育酚)**：活性相当于天然生育酚的大约75%。

这两种类型在功能和应用上相似，但可能对身体吸收效率或生物利用率存在差异。dl-α-生育酚是较常用的形式。

### 食用范围

维生素E广泛应用于食品中以增加其抗氧化性、延长保质期，以及作为营养强化剂使用。常见于：

- **烘焙食品**：如面包和饼干。
- **乳制品**：包括酸奶、奶酪等。
- **饮料**：某些运动饮料或能量饮料。
- **油脂与油炸食品**：用于防止油脂氧化变质。
- **即食食品**：如谷物片和混合调味料。

### 安全性

维生素E在推荐摄入量（RDI）范围内使用被认为是安全的。对于大多数人来说，包括小孩、孕妇和老人，短期或长期摄入维生素E不会引起明显副作用。不过，过量摄入可能会导致毒性反应：

- **大剂量**可能导致消化不良、恶心、腹泻等胃肠道不适。
- **长期高剂量**可能增加出血风险（如：手术后出血）。

### 剂量与使用限制

- **RDI**通常为每日15毫克当量（mg E）的α-生育酚。
- 对于特定人群，如孕妇和乳母，推荐摄入量可能会有所调整以满足额外的需求。
- 高剂量补充维生素E可能需要医生指导，特别是对于有特定健康状况或正在服用药物的人群。

### 结论

维生素E作为食品添加剂在多种食品中使用，有益于增加其营养价值和稳定性。虽然在正常摄入范围下是安全的，但过量摄入可能导致健康风险，尤其是对某些敏感人群。因此，在日常饮食中适量摄取富含维生素E的食物或遵照医生建议补充维生素E制剂较为合适。

请根据个人健康状况、年龄、孕期等因素，合理调整维生素E的摄入量，并在必要时咨询医疗专业人员的意见。"
稳定态二氧化氯,stabilized chlorine dioxide,17.028,926,防腐剂,,,,"稳定态二氧化氯（Stabilized Chlorine Dioxide）是一种较为特殊的食品添加剂。它通常以液态形式存在，并具有氧化能力，主要用作消毒剂和防腐剂。在食品工业中，稳定态二氧化氯主要用于延长某些食品的保质期、防止细菌生长，以及对加工设备进行消毒。

### 适用范围：

1. **果蔬保鲜**：稳定态二氧化氯可用于浸泡或喷洒在水果和蔬菜上，以减少微生物生长，延长其新鲜度。
2. **水处理**：在饮用水处理过程中，它用于去除污染物、降低细菌含量和消除臭味。
3. **肉类加工**：用于防止肉类产品腐败，延长保质期。

### 对人体的影响：

稳定态二氧化氯具有一定的毒性，如果摄入过量或长期暴露在高浓度的环境中，可能对人体健康造成危害。主要影响包括刺激呼吸道、损害皮肤和眼睛等。因此，在食品中使用时需要严格控制其剂量，并确保不会对消费者产生不利影响。

### 针对特定人群的影响：

- **小孩**：儿童身体发育迅速，对环境因素较为敏感，过量摄入稳定态二氧化氯可能会引起更严重的健康问题。在涉及儿童食品的使用时，应特别小心并遵循安全指导。
- **孕妇**：对于孕妇来说，任何可能影响母体或胎儿健康的物质都应该谨慎处理。稳定态二氧化氯的安全性在孕妇中的研究数据有限，因此在孕期和哺乳期使用时需要格外注意，最好避免直接接触或摄入。
- **老人**：老年人的免疫系统较为脆弱，对环境因素的适应能力降低。稳定态二氧化氯等氧化剂可能加剧某些健康问题，尤其是在呼吸道疾病患者中。

### 剂量控制：

食品中的稳定态二氧化氯使用应严格遵循国家食品安全标准和卫生部的规定。在允许的最大残留限量下使用，并确保加工过程中的有效去除或转化，以减少最终产品的残留物。食品工业应该定期监测和评估食品添加剂的使用效果及安全性，同时提供明确的标签说明，告知消费者产品中含有稳定态二氧化氯及其用途。

总之，稳定态二氧化氯作为一种高效的食品防腐剂和消毒剂，在提高食品安全性方面有其积极作用。但同时也需要注意其潜在的毒性风险，并严格控制在允许范围内的合理剂量下使用，以确保对所有人群的安全性。"
纤维素,cellulose,02.012,460,抗结剂、稳定剂和凝固剂、增稠剂,,,2016年11月17日，《关于食品用香料新品种9-癸烯-2-酮、茶多酚等7种食品添加剂扩大使用范围和食品营养强化剂钙扩大使用范围的公告》（2016年第14号）批准食品添加剂新品种纤维素。,"食品添加剂中的""纤维素""是一种常见的增稠剂和胶凝剂。它广泛应用于多种食品中，以改善食品的质地和稳定性。下面是一些关于纤维素的基本情况总结：

### 适用在哪些食品上？

1. **烘焙食品**：纤维素用于增加面团的弹性、延展性和保水性。
2. **糖果与软糖**：通过提高其凝胶性，使糖块有更稳定的结构。
3. **饮料**：用作增稠剂，改善口感和稳定性。
4. **乳制品**：包括冰淇淋、酸奶等，以增加质地和稳定性。
5. **肉制品**：用于增强肉的紧实度和保水性。

### 是否对人体有害？

纤维素在推荐摄入量内被认为是安全的。它是一种可溶性膳食纤维，有助于促进消化系统的健康运作，如预防便秘。然而，过量摄入高剂量的纤维素可能会影响矿物质（特别是铁、锌）的吸收，并可能导致胃部不适或腹泻等副作用。

### 是否对小孩、孕妇、老人有害？

- **小孩子**：一般认为少量至中等量的纤维素添加剂是安全的，但高剂量可能影响儿童的营养吸收。确保摄入的是推荐范围内的适量。
- **孕妇**：在孕期增加对纤维的需求以促进消化健康和防止便秘，因此适量使用纤维素作为食品添加剂通常是合适的。然而，某些特定类型的膳食纤维（如某些形式的黄芪多糖）可能会被建议在孕期避免，因为它们可能具有生物活性作用或潜在的影响。
- **老年人**：随着年龄的增长，身体对食物的吸收能力会下降，所以老年人更应关注摄入适量的纤维素和维生素。确保他们的饮食中包括足够的水分、低脂肪的食物以及容易消化的纤维源。

### 剂量

推荐每日纤维素的摄入量根据不同年龄和性别有所差异：
- **成人**：一般建议男性每天摄入30克，女性25克。
- **孕妇和乳母**：在孕期和哺乳期，额外的膳食纤维可能需要更多，具体剂量应参考相关营养指南。

对于特定人群（如小孩、老人、孕妇等），在引入含有纤维素添加剂的食物时，应该咨询医生或营养专家的意见。确保了解食品标签上关于纤维素含量的信息，并根据个人健康状况和需求调整饮食摄入量。"
苋菜红及其铝色淀（包括苋菜红，苋菜红铝色淀）,"amaranth, amaranth aluminum lake",08.001,123,着色剂,,,,"### 苋菜红及其铝色淀简介

**食品添加剂名称：**
苋菜红及其铝色淀，主要指的是以苋菜红为基底的色素与金属铝结合形成的复合物。苋菜红是一种人工合成的红色素，在许多食品中用作着色剂。

#### 适用在哪些食品上？
- 苋菜红及其铝色淀广泛应用于多种食品中，包括但不限于：
  - 果冻、饮料（如软饮）、糖果等含有鲜艳色泽的甜点和饮品。
  - 零食，尤其是那些需要吸引眼球的颜色亮丽的小吃或零食。
  - 肉类制品，如火腿、香肠等加工肉品，用于提升外观。

#### 是否对人体有害？
- **安全性：**
  苋菜红及其铝色淀作为一种食品添加剂，在合理使用范围内被认为是安全的。然而，摄入过多可能会对健康产生不利影响。
  
- **潜在风险：**
  高剂量摄入可能导致腹泻、恶心等症状，并可能对某些个体（尤其是儿童和孕妇）造成不良反应，如过敏反应。

#### 是否对小孩、孕妇、老人有害？
- 对于**小孩**而言，虽然苋菜红是普遍接受的食品添加剂之一，但过量摄入可能会导致消化系统不适或其他健康问题。因此，建议限制婴幼儿食品中的使用量。
- **孕妇**摄入过量的食品色素可能增加某些并发症的风险，如早产或婴儿体重较低等。孕期应谨慎选择含色素的食物，并遵循每日推荐摄入量。
- 对于**老人**而言，虽然没有特殊提及，但考虑到老年人可能对食品安全更加敏感，建议适量使用并注意观察身体反应。

#### 剂量方面
- **推荐剂量：**
  在大多数国家和地区，苋菜红及其铝色淀的每日允许摄入量有明确的规定。例如，在欧盟和美国，苋菜红的最大每日允许摄入量分别为每公斤体重0.5毫克（欧洲）或约0.27毫克（美国）。
  
- **安全指导：**
  食品监管机构通常建议遵循推荐剂量，并尽可能选择天然成分的食品替代含有合成色素的产品。适量使用此类食品添加剂，尤其是对特殊人群如儿童、孕妇和老人，更为重要。

总之，苋菜红及其铝色淀在合理使用下是相对安全的食品添加剂，但过量摄入可能带来健康风险。对于特定群体（小孩、孕妇、老年人），应更加谨慎，并遵循食品安全指导原则以确保健康饮食。"
